Australian,Airline,InFlights,OutFlights,Year
Melbourne,Etihad Airways,31.0,31.0,2010
Melbourne,Garuda Indonesia,31.0,31.0,2010
Melbourne,Jetstar,81.0,85.0,2010
Melbourne,Korean Air,13.0,13.0,2010
Melbourne,Malaysia Airlines,62.0,62.0,2010
Melbourne,Philippine Airlines,22.0,22.0,2010
Melbourne,Qantas Airways,210.0,213.0,2010
Melbourne,Qatar Airways,31.0,31.0,2010
Melbourne,Singapore Airlines,93.0,93.0,2010
Melbourne,Thai Airways International,60.0,60.0,2010
Melbourne,United Airlines,31.0,29.0,2010
Melbourne,V Australia,22.0,22.0,2010
Melbourne,Vietnam Airlines,18.0,18.0,2010
Melbourne,Virgin Australia,88.0,89.0,2010
Norfolk Island,Air New Zealand,7.0,7.0,2010
Perth,Air Mauritius,5.0,4.0,2010
Perth,Air New Zealand,27.0,27.0,2010
Perth,AirAsia X,31.0,31.0,2010
Perth,Cathay Pacific Airways,31.0,31.0,2010
Perth,Emirates,62.0,62.0,2010
Perth,Garuda Indonesia,93.0,93.0,2010
Perth,Indonesia AirAsia,62.0,62.0,2010
Perth,Jetstar,71.0,71.0,2010
Perth,Malaysia Airlines,45.0,44.0,2010
Perth,Qantas Airways,81.0,80.0,2010
Perth,Royal Brunei Airlines,23.0,22.0,2010
Perth,Singapore Airlines,74.0,74.0,2010
Perth,South African Airways,27.0,27.0,2010
Perth,Thai Airways International,28.0,28.0,2010
Perth,Tigerair,31.0,31.0,2010
Perth,Virgin Australia,40.0,40.0,2010
Sydney,Aerolineas Argentinas,13.0,13.0,2010
Sydney,Air Austral,9.0,9.0,2010
Sydney,Air Caledonie,21.0,21.0,2010
Sydney,Air Canada,31.0,31.0,2010
Sydney,Air China,31.0,31.0,2010
Sydney,Air New Zealand,207.0,209.0,2010
Sydney,Air Niugini,9.0,10.0,2010
Sydney,Fiji Airways,31.0,31.0,2010
Sydney,Air Vanuatu,27.0,27.0,2010
Sydney,Asiana Airlines,31.0,31.0,2010
Sydney,British Airways,44.0,43.0,2010
Sydney,Cathay Pacific Airways,93.0,93.0,2010
Sydney,China Airlines,18.0,18.0,2010
Sydney,China Eastern Airlines,17.0,17.0,2010
