Australian,Airline,InFlights,OutFlights,Year
Cairns,Jetstar,66,72,2010
Cairns,Virgin Australia,9,9,2010
Darwin,Jetstar,101,101,2010
Gold Coast,Air New Zealand,23,23,2010
Gold Coast,AirAsia X,31,31,2010
Gold Coast,Jetstar,79,79,2010
Gold Coast,Qantas Airways,1,,2010
Gold Coast,Virgin Australia,29,29,2010
Melbourne,Air China,18,18,2010
Melbourne,Air Mauritius,5,4,2010
Melbourne,Air New Zealand,114,115,2010
Melbourne,Fiji Airways,13,13,2010
Melbourne,AirAsia X,31,31,2010
Melbourne,Cathay Pacific Airways,93,93,2010
Melbourne,China Eastern Airlines,14,14,2010
Melbourne,China Southern Airlines,14,14,2010
Melbourne,Emirates,124,124,2010
Melbourne,Etihad Airways,31,31,2010
Melbourne,Garuda Indonesia,31,31,2010
Melbourne,Jetstar,81,85,2010
Melbourne,Korean Air,13,13,2010
Melbourne,Malaysia Airlines,62,62,2010
Melbourne,Philippine Airlines,22,22,2010
Melbourne,Qantas Airways,210,213,2010
Melbourne,Qatar Airways,31,31,2010
Melbourne,Singapore Airlines,93,93,2010
Melbourne,Thai Airways International,60,60,2010
Melbourne,United Airlines,31,29,2010
Melbourne,V Australia,22,22,2010
Melbourne,Vietnam Airlines,18,18,2010
Melbourne,Virgin Australia,88,89,2010
Norfolk Island,Air New Zealand,7,7,2010
Perth,Air Mauritius,5,4,2010
Perth,Air New Zealand,27,27,2010
Perth,AirAsia X,31,31,2010
Perth,Cathay Pacific Airways,31,31,2010
Perth,Emirates,62,62,2010
Perth,Garuda Indonesia,93,93,2010
Perth,Indonesia AirAsia,62,62,2010
Perth,Jetstar,71,71,2010
Perth,Malaysia Airlines,45,44,2010
Perth,Qantas Airways,81,80,2010
Perth,Royal Brunei Airlines,23,22,2010
Perth,Singapore Airlines,74,74,2010
Perth,South African Airways,27,27,2010
Perth,Thai Airways International,28,28,2010
Perth,Tigerair,31,31,2010
Perth,Virgin Australia,40,40,2010
Sydney,Aerolineas Argentinas,13,13,2010
Sydney,Air Austral,9,9,2010
Sydney,Air Caledonie,21,21,2010
Sydney,Air Canada,31,31,2010
Sydney,Air China,31,31,2010
Sydney,Air New Zealand,207,209,2010
Sydney,Air Niugini,9,10,2010
Sydney,Fiji Airways,31,31,2010
Sydney,Air Vanuatu,27,27,2010
Sydney,Asiana Airlines,31,31,2010
Sydney,British Airways,44,43,2010
Sydney,Cathay Pacific Airways,93,93,2010
Sydney,China Airlines,18,18,2010
Sydney,China Eastern Airlines,17,17,2010
Sydney,China Southern Airlines,31,31,2010
Sydney,Delta Air Lines,30,30,2010
Sydney,Emirates,154,154,2010
Sydney,Etihad Airways,49,49,2010
Sydney,Garuda Indonesia,31,30,2010
Sydney,Hawaiian Airlines,13,13,2010
Sydney,JALWays,31,31,2010
Sydney,Jetstar,160,166,2010
Sydney,Korean Air,31,31,2010
Sydney,LATAM Airlines,26,27,2010
Sydney,Malaysia Airlines,53,53,2010
Sydney,Philippine Airlines,23,23,2010
Sydney,Qantas Airways,634,629,2010
Sydney,Singapore Airlines,124,124,2010
Sydney,Thai Airways International,89,89,2010
Sydney,United Airlines,62,59,2010
Sydney,V Australia,52,52,2010
Sydney,Vietnam Airlines,18,18,2010
Sydney,Virgin Atlantic Airways,31,31,2010
Sydney,Virgin Australia,105,104,2010
Sydney,Virgin Samoa,13,13,2010
Adelaide,Air New Zealand,18,18,2010
Adelaide,Cathay Pacific Airways,30,30,2010
Adelaide,Malaysia Airlines,17,17,2010
Adelaide,Qantas Airways,14,13,2010
Adelaide,Singapore Airlines,30,30,2010
Adelaide,Virgin Australia,13,13,2010
Brisbane,Air Caledonie,8,8,2010
Brisbane,Air New Zealand,125,125,2010
Brisbane,Air Niugini,38,34,2010
Brisbane,Fiji Airways,29,29,2010
Brisbane,Air Vanuatu,12,14,2010
Brisbane,Cathay Pacific Airways,43,43,2010
Brisbane,China Airlines,12,12,2010
Brisbane,Emirates,90,90,2010
Brisbane,Etihad Airways,12,12,2010
Brisbane,Eva Air,9,9,2010
