Australian,Airline,InFlights,OutFlights,Year,Month_Number
Brisbane,Etihad Airways,14,14,2010,5
Brisbane,Eva Air,12,12,2010,6
Brisbane,JALWays,31,31,2010,7
Brisbane,Jetstar,62,59,2010,8
Brisbane,Korean Air,13,13,2010,9
Brisbane,Malaysia Airlines,31,31,2010,10
Brisbane,Nauru Airlines,4,5,2010,11
Brisbane,Philippine Airlines,9,9,2010,12
Brisbane,Qantas Airways,148,144,2010,1
Brisbane,Royal Brunei Airlines,26,26,2010,2
Brisbane,Singapore Airlines,85,85,2010,3
Brisbane,Solomon Airlines,13,13,2010,4
Brisbane,Thai Airways International,43,43,2010,5
Brisbane,V Australia,22,22,2010,6
Brisbane,Virgin Australia,235,236,2010,7
Brisbane,Virgin Samoa,1,1,2010,8
Cairns,Air New Zealand,13,13,2010,9
Cairns,Air Niugini,52,53,2010,10
Cairns,Airlines PNG,26,26,2010,11
Cairns,Cathay Pacific Airways,26,26,2010,12
Cairns,Continental Micronesia,18,17,2010,1
Cairns,Jetstar,66,72,2010,2
Cairns,Virgin Australia,9,9,2010,3
Darwin,Jetstar,101,101,2010,4
Gold Coast,Air New Zealand,23,23,2010,5
Gold Coast,AirAsia X,31,31,2010,6
Gold Coast,Jetstar,79,79,2010,7
Gold Coast,Qantas Airways,1,0,2010,8
Gold Coast,Virgin Australia,29,29,2010,9
Melbourne,Air China,18,18,2010,10
Melbourne,Air Mauritius,5,4,2010,11
Melbourne,Air New Zealand,114,115,2010,12
Melbourne,Fiji Airways,13,13,2010,1
Melbourne,AirAsia X,31,31,2010,2
Melbourne,Cathay Pacific Airways,93,93,2010,3
Melbourne,China Eastern Airlines,14,14,2010,4
Melbourne,China Southern Airlines,14,14,2010,5
Melbourne,Emirates,124,124,2010,6
Melbourne,Etihad Airways,31,31,2010,7
Melbourne,Garuda Indonesia,31,31,2010,8
Melbourne,Jetstar,81,85,2010,9
Melbourne,Korean Air,13,13,2010,10
Melbourne,Malaysia Airlines,62,62,2010,11
Melbourne,Philippine Airlines,22,22,2010,12
Melbourne,Qantas Airways,210,213,2010,1
Melbourne,Qatar Airways,31,31,2010,2
Melbourne,Singapore Airlines,93,93,2010,3
Melbourne,Thai Airways International,60,60,2010,4
Melbourne,United Airlines,31,29,2010,5
Melbourne,V Australia,22,22,2010,6
Melbourne,Vietnam Airlines,18,18,2010,7
Melbourne,Virgin Australia,88,89,2010,8
Norfolk Island,Air New Zealand,7,7,2010,9
Perth,Air Mauritius,5,4,2010,10
Perth,Air New Zealand,27,27,2010,11
Perth,AirAsia X,31,31,2010,12
Perth,Cathay Pacific Airways,31,31,2010,1
Perth,Emirates,62,62,2010,2
Perth,Garuda Indonesia,93,93,2010,3
Perth,Indonesia AirAsia,62,62,2010,4
Perth,Jetstar,71,71,2010,5
Perth,Malaysia Airlines,45,44,2010,6
Perth,Qantas Airways,81,80,2010,7
Perth,Royal Brunei Airlines,23,22,2010,8
Perth,Singapore Airlines,74,74,2010,9
Perth,South African Airways,27,27,2010,10
Perth,Thai Airways International,28,28,2010,11
Perth,Tigerair,31,31,2010,12
Perth,Virgin Australia,40,40,2010,1
Sydney,Aerolineas Argentinas,13,13,2010,2
Sydney,Air Austral,9,9,2010,3
Sydney,Air Caledonie,21,21,2010,4
Sydney,Air Canada,31,31,2010,5
Sydney,Air China,31,31,2010,6
Sydney,Air New Zealand,207,209,2010,7
Sydney,Air Niugini,9,10,2010,8
Sydney,Fiji Airways,31,31,2010,9
Sydney,Air Vanuatu,27,27,2010,10
Sydney,Asiana Airlines,31,31,2010,11
Sydney,British Airways,44,43,2010,12
Sydney,Cathay Pacific Airways,93,93,2010,1
